Office,Name,Unit
Grand Eminent Prior,RW & Em Bro. Roger Freeman GCAG,
Senior Grand Warden,W Bro. David Perkins MBE KAG,
Junior Grand Ward,W Bro. David Wakely,
Grand Secretary,W Bro. Chris Jeffery KAG PGBannerB,
Grand Registrar,W Bro. Barry W Slade KAG PJGD,
Grand Treasurer,W Bro. Tony Pinnell KCAG PJGD,
Grand Marshal,W Bro. Garry Peard KAG,
Grand Sword Bearer,W Bro. Paul Whittaker,
Grand Almoner,W Bro. Julian N Frost,
Deputy Grand Marshal,W Bro. Chris Haliburton,
Senior Grand Deacon,W Bro. Tony Rash,
Junior Grand Deacon,W Bro. Graeme Clark,
Grand Organist,W Bro. Marshall G Westley DepGOrg,
Grand Banner Bearer,W Bro. James Ward,
Grand Capt. of the Guards,W Bro. Robert Thomas,
Grand Guard,Bro. John Vooght,
