Office,Name,Unit
Worshipful Provincial Senior Grand Warden,Bro. Paul S. Berridge,
Worshipful Provincial Junior Grand Warden,Bro. Michael V. Haines,
Provincial Grand Secretary,Bro. Robert W. Parkes,
Provincial Grand Treasurer,Bro. Richard F. Micklefield,
Provincial Grand Chaplain,Bro. Kenneth H. Barnes,
Provincial Grand Sword Bearer,Bro. Ian B. Prudames,
Provincial Grand Banner Bearer,Bro. Andrew S. Jennings,
Provincial Grand Marischal,Bro. Douglas J. Day,
Deputy Provincial Grand Marischal,Bro. Ian R. Sullivan,
Provincial Grand Almoner,Bro. William B. Harper,
Provincial Grand Introductor & Examiner,Bro. Trevor M. Barrett,
Provincial Grand Constable of the Tower,Bro. Kenneth Shaw,
Deputy Provincial Grand Secretary,Bro. Trevor A. Bond,
First Provincial Grand Steward,Bro. Paul R. Gawler,
Second Provincial Grand Steward,Bro. James Lowe,
Third Provincial Grand Steward,Bro. Foster R. Telford,
Forth Provincial Grand Steward,Bro. Peter Hartland,
Provincial Grand Director of Music,Bro. Matthew R. Burt,
Provincial Grand Guarder,Bro. Michael T. Nixey,
Deputy Provincial Grand Guarder,Bro. John P Lemm,
