Office,Name,Unit
Grand Chaplain,Ill.Comp. P McCaw,
Grand Treasurer,Ill.Comp. A J Krzysica,
Grand Recorder,Ill.Comp. C A C Brier,
Grand Director of Ceremonies,Ill.Comp. M E Gannaway,
Grand Lecturer,Ill.Comp. M I Denton,
Dep. Grand Director of Ceremonies,Ill.Comp. M P Harkness,
Grand Captain of the Guard,Ill.Comp. D G Stock,
Grand Conductor of the Council,Ill.Comp. L P Armitstead,
Grand Almoner,Ill.Comp. D W Workman,
Grand Assistant Recorder,Ill.Comp. M E W Stevens,
Asst. Grand Director of Ceremonies,Ill.Comp. I T Glister,
Grand Sword Bearer,Ill.Comp. M R Beeney,
Grand Standard Bearer,Ill.Comp. G A Fanti,
Grand Organist,V.Ill.Comp. M R Burt,
Grand Steward,Ill.Comp. N Simpson,
Grand Manciple,Ill.Comp. T Barrett,
Grand Manciple,Ill.Comp. D Forward,
Grand Manciple,Ill.Comp. M Knight,
Grand Sentinel,Ill.Comp. K C Brooks,
